20161011-17-43-51 | ItsLoginResult:0, ItsGetDate:2016/10/11 17:43:45, Cantidad:937
11/10/16 21:38:48 | ItsLoginResult:0, session:{49118C5D-76D1-42FD-AD02-EE1D621B5DD0}
11/10/16 21:39:13 | ItsLoginResult:0, ItsGetDate:2016/10/11 21:39:10, Cantidad:0
11/10/16 21:39:24 | ItsLoginResult:0, ItsGetDate:2016/10/11 21:39:18, Cantidad:937
17/04/17 14:19:41 | ItsLoginResult:0, session:{B125372F-4B87-4F11-86D2-CF30177A7692}
17/04/17 14:19:59 | ItsLoginResult:0, ItsGetDate:2017/04/17 14:19:52, Cantidad:1072
17/04/17 14:21:33 | ItsLoginResult:0, ItsGetDate:2017/04/17 14:21:05, Cantidad:5385
17/04/17 14:51:47 | ItsLoginResult:0, Cantidad:1
21/04/17 17:25:31 | ItsLoginResult:0, session:{0C773D7C-5223-459E-9953-E71F19D0C633}
25/04/17 10:09:59 | ItsLoginResult:0, session:{3C09CD2B-0EAE-46C1-B27B-0FF4E320C1A1}
28/04/17 13:18:46 | ItsLoginResult:0, session:{F1E4AD7B-5E0E-44CA-BD8A-D0CDC073D4C1}
03/05/17 17:19:56 | ItsLoginResult:0, session:{1CDA135F-906B-4CDD-AFC6-E336C11DE39D}
08/05/17 17:33:37 | ItsLoginResult:0, session:{A94D366D-C69D-4E0E-8475-D3A348614E56}
