 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
09/10/16 02:21:47 | status : 200 | http://www.itris.com.ar
09/10/16 02:26:57 | status : 200 | http://www.itris.com.ar
09/10/16 02:27:46 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
09/10/16 02:28:07 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
09/10/16 02:28:16 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
09/10/16 22:49:26 | status : 200 | http://iserver.itris.com.ar:5000/ITSWS/ItsCliSvrWS.asmx?WSDL
09/10/16 22:51:33 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 09:47:11 | status : 200 | http://www.itris.com.ar
11/10/16 09:47:29 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 09:48:28 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 10:02:48 | status : 200 | http://www.itris.com.ar
11/10/16 10:02:57 | status : 200 | http://www.itris.com.ar
11/10/16 10:03:00 | status : 200 | http://www.itris.com.ar
11/10/16 10:03:20 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 10:03:49 | status : 200 | http://www.itris.com.ar
11/10/16 10:04:29 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:17:14 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:29:54 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:39:29 | status : 200 | http://www.itris.com.ar
11/10/16 11:39:44 | status : 200 | http://www.itris.com.ar
11/10/16 11:40:24 | status : 404 | http://www.itris.com.ar.iu
11/10/16 11:41:24 | status : 200 | http://www.google.com
11/10/16 11:42:41 | status : 404 | http://Servidor/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:47:59 | status : 200 | http://www.itris.com.ar
11/10/16 11:48:21 | status : 200 | http://www.itris.com.ar
11/10/16 11:53:40 | status : 200 | http://www.itris.com.ar
11/10/16 11:53:49 | status : 200 | http://www.itris.com.ar
11/10/16 11:53:52 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:54:02 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:54:05 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:54:17 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:55:03 | status : 200 | http://www.itris.com.ar
11/10/16 11:55:15 | status : 200 | http://192.168.1.38:85/ItsWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:55:59 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 11:58:22 | status : 200 | http://www.itris.com.ar
11/10/16 11:58:38 | status : 404 | 192.168.1.38
11/10/16 11:59:48 | status : 404 | http:\/\/iserver.itris.com.ar:3000\/ITSWS\/ItsCliSvrWS.asmx?WSDL
11/10/16 12:00:34 | status : 404 | http:iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 12:00:51 | status : 404 | http:iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 15:35:37 | status : 200 | http://www.itris.com.ar
11/10/16 15:35:50 | status : 200 | http://www.google.com.ar
11/10/16 15:36:01 | status : 404 | http://www.googleiiii.com.ar
11/10/16 15:36:34 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 15:54:18 | status : 200 | http://itris.no-ip.com:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 15:54:23 | status : 200 | http://itris.no-ip.com:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 15:54:26 | status : 200 | http://itris.no-ip.com:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
11/10/16 21:25:28 | status : 200 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
13/10/16 09:46:51 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
17/10/16 12:14:25 | status : 200 | http://www.itris.com.ar
17/10/16 12:14:35 | status : 404 | http://grafale.dnsalias.com/ItsWs/ItsCliSvrWS.asmx?WSDL
17/10/16 12:16:14 | status : 200 | http://gmhcentral.dnsalias.com/ItsWs/ItsCliSvrWS.asmx?WSDL
02/11/16 16:17:27 | status : 200 | http://www.itris.com.ar
02/11/16 16:18:50 | status : 200 | http://www.itris.com.ar
02/11/16 16:29:49 | status : 404 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
02/11/16 16:38:02 | status : 404 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
30/11/16 15:41:47 | status : 404 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
01/01/17 18:22:34 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
22/02/17 13:51:44 | status : 200 | http://www.itris.com.ar
22/02/17 13:51:44 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
22/02/17 13:51:47 | status : 200 | http://www.itris.com.ar
22/02/17 13:51:47 | status : 200 | http://www.itris.com.ar
22/02/17 14:33:04 | status : 200 | http://www.itris.com.ar
22/02/17 14:33:05 | status : 200 | http://www.itris.com.ar
22/02/17 15:41:10 | status : 200 | http://www.itris.com.ar
22/02/17 15:41:14 | status : 200 | http://www.itris.com.ar
23/02/17 10:05:57 | status : 200 | http://www.itris.com.ar
25/02/17 20:18:12 | status : 200 | http://www.itris.com.ar
25/02/17 20:18:35 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
28/02/17 23:36:46 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
28/02/17 23:36:58 | status : 200 | http://www.itris.com.ar
04/03/17 02:57:14 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
