20161017-12-18-02 | ItsLoginResult:, session:
17/10/16 12:18:10 | ItsLoginResult:, session:
17/10/16 12:18:16 | ItsLoginResult:, session:
17/10/16 12:22:48 | ItsLoginResult:, session:
17/10/16 12:25:16 | ItsLoginResult:, session:
17/10/16 12:32:53 | ItsLoginResult:0, session:{55D7D3E7-1E89-4369-838E-BDA1100454F9}
17/10/16 12:33:21 | ItsLoginResult: 0, ItsGetDate: 2016/10/17 12:33:16, Cantidad: 10, Data: Array
17/10/16 12:35:48 | ItsLoginResult:0, session:{231E500B-011D-43DF-AFE3-1C5947B2C679}
17/10/16 12:37:15 | ItsLoginResult: 0, ItsGetDate: 2016/10/17 12:37:11, Cantidad: 10, Data: Array
17/10/16 12:40:37 | ItsLoginResult:, session:
17/10/16 12:40:46 | ItsLoginResult:, session:
17/10/16 12:28:16 | ItsLoginResult:, session:
17/10/16 12:28:39 | ItsLoginResult:, session:
17/10/16 12:29:00 | ItsLoginResult:, session:
17/10/16 12:43:42 | ItsLoginResult:0, session:{B374F5EE-FC3D-48ED-9BAE-EB250B9BC442}
17/10/16 12:43:55 | ItsLoginResult:, session:
17/10/16 12:46:27 | ItsLoginResult:0, session:{AB43A86F-CAE4-40B7-9368-0BF7CCF9A79A}
17/10/16 12:46:38 | ItsLoginResult:0, session:{04F85844-2C47-4982-8272-77E1A33EA502}
17/10/16 17:50:29 | ItsLoginResult:0, session:{58ED0EB1-E527-4397-ADBB-D182758A6BD3}
17/10/16 18:05:29 | ItsLoginResult:0, session:{295B8B5B-53C0-4A01-AADD-E4D23DE855E0}
17/10/16 18:11:43 | ItsLoginResult:0, session:{06A367E6-68D3-4652-AC4D-7AD9727B0C0B}
18/10/16 14:40:48 | ItsLoginResult:0, session:{CF7DE38D-802C-4B34-AC9D-85F7F4B02346}
18/10/16 14:44:00 | ItsLoginResult:0, session:{3FAC0F75-C335-47E5-AED1-3832A5DD07DB}
20/10/16 16:30:43 | ItsLoginResult:0, session:{14C1EEC5-7340-4644-B5D3-F38FE4E6DC61}
20/10/16 16:47:54 | ItsLoginResult:0, session:{6D2FB449-45DB-4DD5-AE90-D82E2AECC8C1}
24/10/16 18:01:47 | ItsLoginResult:0, session:{7E76B6E3-6D3C-4B30-BBB7-4123CDF6D5C8}
01/12/16 12:55:39 | ItsLoginResult:, session:
02/01/17 11:57:14 | ItsLoginResult:, session:
