20161017-12-34-04 | ItsLoginResult:, session:
17/10/16 12:34:49 | ItsLoginResult:, session:
17/10/16 12:35:26 | ItsLoginResult:, session:
17/10/16 12:35:31 | ItsLoginResult:, session:
17/10/16 12:37:02 | ItsLoginResult:, session:
17/10/16 12:38:57 | ItsLoginResult:, session:
17/10/16 12:39:49 | ItsLoginResult:, session:
17/10/16 17:50:46 | ItsLoginResult:0, session:{335A477A-48D7-4CB4-A39A-1BB7746342C6}
18/10/16 18:14:07 | ItsLoginResult:0, session:{5BFD1EEB-87D2-4B9C-BE6D-2C9B079DFF5A}
24/10/16 18:30:49 | ItsLoginResult:0, session:{B8AC7A18-2D3B-42BB-AEDB-F04A2BE3F8AB}
25/10/16 21:09:43 | ItsLoginResult:0, session:{1EC6A74E-6436-4069-AAD4-AC5107768C32}
02/01/17 11:51:59 | ItsLoginResult:, session:
02/01/17 11:53:23 | ItsLoginResult:, session:
25/01/17 11:38:30 | ItsLoginResult:0, session:{7586B927-59DC-4E3F-AA42-EADCD0E4C063}
25/01/17 11:38:44 | ItsLoginResult:0, session:{2105E619-AFEF-48AC-A13A-F6F06783652E}
25/04/17 19:49:55 | ItsLoginResult:0, session:{42A258A9-8031-4AC5-9B7E-02303EDE4F91}
