20161015-15-57-05 | ItsLoginResult:0, session:{B0AAF45C-03BA-456D-9C21-29DBAAC02107}
16/10/16 08:08:49 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:08:31, Cantidad: 1, Data: Array
16/10/16 08:10:04 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:10:01, Cantidad: 0, Data: 
16/10/16 08:21:16 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:21:12, Cantidad: 0, Data: 
16/10/16 08:24:46 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:24:44, Cantidad: 1, Data: Array
16/10/16 08:30:47 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:30:44, Cantidad: 1, Data: Array
16/10/16 08:31:10 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:31:07, Cantidad: 1, Data: Array
16/10/16 08:31:26 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:31:22, Cantidad: 1, Data: Array
16/10/16 08:33:36 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:33:31, Cantidad: 1, Data: Array
16/10/16 08:35:22 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:35:16, Cantidad: 1, Data: Array
16/10/16 08:36:10 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:36:07, Cantidad: 1, Data: Array
16/10/16 08:37:01 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:36:57, Cantidad: 1, Data: Array
16/10/16 08:37:16 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:37:12, Cantidad: 1, Data: Array
16/10/16 08:38:09 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:38:04, Cantidad: 1, Data: Array
16/10/16 08:39:07 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:39:03, Cantidad: 1, Data: Array
16/10/16 08:39:16 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:39:13, Cantidad: 1, Data: Array
16/10/16 08:39:22 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:39:20, Cantidad: 0, Data: 
16/10/16 08:39:29 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:39:26, Cantidad: 0, Data: 
16/10/16 08:40:55 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:40:49, Cantidad: 0, Data: 
16/10/16 08:41:26 | ItsLoginResult: 0, ItsGetDate: 2016/10/16 08:41:24, Cantidad: 0, Data: 
